ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight
10360009,1.0,2,71,32,4,4.8,1.06,14,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,4.8,1.52,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,11.0,1.0,35.0,4.0,,1,69.0,0.0003213
10360009,1.0,3,90,1,38,6.2,0.42,5,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,6.2,0.6,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,3.0,1.0,51.0,4.0,7.0,1,69.0,0.0003213
10360011,1.0,4,180,71,41,26.4,4.43,45,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,30.0,4.0,1.0,1954.0,2.0,2.0,1.0,3.0,7000.0,3.0,2,2,2,2,2,1.0,26.4,6.35,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,4,2,1,4,1,5.0,3,1.0,2.0,2.0,4.0,1,44.5,1.0,68.0,4.0,75.0,1,56.0,0.000409116
10360011,1.0,10,312,58,51,59.6,14.03,93,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,30.0,4.0,1.0,1954.0,2.0,2.0,1.0,3.0,7000.0,3.0,2,2,2,2,2,1.0,59.6,20.1,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,4,2,1,4,1,5.0,3,1.0,2.0,2.0,4.0,1,135.5,1.0,203.0,4.0,100.0,1,56.0,0.000409116
10360014,10.0,2,95,50,8,9.6,2.84,27,4.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,10.0,4.0,1.0,1968.0,2.0,3.0,1.0,3.0,7000.0,6.0,2,2,2,2,2,1.0,9.6,4.07,3.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,4,2,1,4,1,3.0,2,2.0,1.0,2.0,4.0,1,28.0,1.0,37.0,5.0,30.0,1,42.0,0.000109132
10360023,1.0,2,162,98,31,8.8,0.78,10,5.0,3.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,5.0,15.0,5.0,2.0,1993.0,2.0,6.0,8.0,6.0,9000.0,2.0,2,1,2,2,2,3.0,0.0,1.12,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,4,2,1,4,1,4.0,2,3.0,1.0,2.0,2.0,1,7.0,1.0,33.0,4.0,20.0,1,17.0,0.002195453
10360023,8.0,3,111,41,14,9.6,1.44,19,5.0,3.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,5.0,15.0,5.0,2.0,1993.0,2.0,6.0,8.0,6.0,9000.0,2.0,2,1,2,2,2,3.0,0.0,2.06,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4,2,1,4,1,4.0,2,3.0,1.0,2.0,2.0,1,16.5,1.0,56.0,4.0,50.0,1,17.0,0.002195453
10360023,8.0,5,182,80,30,12.4,0.94,12,5.0,3.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,5.0,15.0,5.0,2.0,1993.0,2.0,6.0,8.0,6.0,9000.0,2.0,2,1,2,2,2,3.0,0.0,1.35,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4,2,1,4,1,4.0,2,3.0,1.0,2.0,2.0,1,11.0,1.0,72.0,4.0,10.0,1,17.0,0.002195453
10360024,1.0,5,200,80,12,30.4,2.33,26,5.0,3.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,5.0,15.0,5.0,1.0,1959.0,2.0,1.0,1.0,1.0,9000.0,4.0,1,2,2,2,2,1.0,15.2,3.34,4.0,4.0,2.0,1.0,5.0,5.0,4.0,1.0,3.0,3.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,4,2,1,4,1,5.0,3,3.0,2.0,2.0,3.0,1,24.5,1.0,108.0,3.0,40.0,1,51.0,0.000109132
10360035,7.0,4,118,43,10,11.0,3.28,33,4.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,22.0,5.0,2.0,1956.0,2.0,3.0,2.0,5.0,9000.0,3.0,2,2,2,2,2,1.0,11.0,4.7,6.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,1.0,4.0,6.0,5.0,4.0,2.0,4.0,6.0,4.0,3.0,4.0,2.0,2.0,2.0,6.0,5.0,6.0,6.0,4.0,2.0,4.0,2.0,4.0,6.0,6.0,3.0,4.0,2.0,4.0,1.0,4.0,6.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4,2,1,4,1,2.0,2,4.0,1.0,1.0,3.0,1,30.0,1.0,65.0,3.0,45.0,1,54.0,0.000367986
10360122,8.0,5,153,49,31,21.0,3.06,33,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,32.0,3.0,1.0,1939.0,1.0,2.0,9.0,3.0,5000.0,6.0,1,2,2,2,2,1.0,10.5,4.38,2.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,6.0,5.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0,1.0,5.0,4.0,2.0,4.0,5.0,4.0,6.0,1.0,1.0,5.0,6.0,2.0,2.0,3.0,4.0,4.0,3.0,4,2,1,4,1,3.0,3,1.0,1.0,1.0,3.0,1,31.0,1.0,73.0,4.0,70.0,1,71.0,8.57e-05
10360139,1.0,4,135,72,11,15.6,3.11,33,4.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,7.0,6.0,2.0,1964.0,1.0,3.0,2.0,6.0,15000.0,5.0,1,2,2,2,1,1.0,7.8,4.46,2.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,3.0,1.0,5.0,4.0,1.0,3.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0,2.0,2.0,5.0,1.0,1.0,1.0,6.0,3.0,4.0,4.0,3.0,1.0,2.0,5.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,4,2,1,4,1,1.0,4,1.0,4.0,4.0,3.0,1,31.0,1.0,52.0,4.0,61.0,1,46.0,9.82e-05
10360159,8.0,2,232,131,40,11.8,2.23,29,3.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,8.0,3.0,2.0,1968.0,2.0,4.0,2.0,4.0,5000.0,3.0,2,2,2,2,2,1.0,11.8,3.2,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0,6.0,5.0,2.0,6.0,5.0,3.0,4.0,3.0,1.0,6.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,4,2,1,4,1,5.0,3,3.0,2.0,2.0,3.0,1,22.5,1.0,61.0,8.0,30.0,1,42.0,0.000367986
10360177,4.0,2,131,92,5,12.4,1.62,15,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,1976.0,3.0,1.0,1.0,3.0,9000.0,3.0,2,2,2,2,2,1.0,12.4,2.32,1.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,3.0,5.0,1.0,3.0,4,2,1,4,1,5.0,2,4.0,1.0,1.0,3.0,1,16.5,1.0,34.0,4.0,30.0,1,34.0,0.000967286
10360177,4.0,5,213,89,53,24.8,4.93,39,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,1976.0,3.0,1.0,1.0,3.0,9000.0,3.0,2,2,2,2,2,1.0,24.8,7.06,1.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,3.0,5.0,1.0,3.0,4,2,1,4,1,5.0,2,4.0,1.0,1.0,3.0,1,54.0,1.0,71.0,4.0,60.0,1,34.0,0.000967286
10360193,1.0,5,159,98,11,43.2,3.22,28,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,7.0,2.0,6.0,1.0,1973.0,2.0,2.0,1.0,2.0,15000.0,7.0,2,2,2,2,2,1.0,43.2,4.61,3.0,4.0,6.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,5.0,1.0,4.0,6.0,6.0,2.0,5.0,6.0,5.0,6.0,5.0,1.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,6.0,3.0,3.0,5.0,2.0,4.0,2.0,4,2,1,4,1,3.0,3,4.0,2.0,1.0,3.0,1,32.5,1.0,50.0,3.0,40.0,1,37.0,0.000378621
10360195,1.0,5,194,82,22,19.2,4.87,47,4.0,0.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,,,0.0,1.0,1.0,5.0,15.0,5.0,2.0,1958.0,2.0,3.0,2.0,6.0,9000.0,5.0,1,2,2,2,2,1.0,9.6,6.98,4.0,5.0,6.0,4.0,4.0,5.0,6.0,2.0,6.0,4.0,2.0,4.0,4.0,2.0,4.0,6.0,6.0,2.0,5.0,5.0,6.0,3.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,6.0,6.0,6.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4,2,1,4,1,5.0,4,2.0,2.0,2.0,3.0,1,51.5,1.0,90.0,3.0,75.0,1,52.0,9.82e-05
10360196,1.0,4,126,60,12,13.2,2.57,26,4.0,0.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,5.0,15.0,5.0,2.0,1958.0,2.0,3.0,2.0,6.0,9000.0,5.0,1,2,2,2,2,1.0,6.6,3.68,4.0,5.0,6.0,4.0,4.0,5.0,6.0,2.0,6.0,4.0,2.0,4.0,4.0,2.0,4.0,6.0,6.0,2.0,5.0,5.0,6.0,3.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,6.0,6.0,6.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4,2,1,4,1,5.0,3,2.0,2.0,2.0,3.0,1,27.0,1.0,54.0,3.0,55.0,1,52.0,9.82e-05
